,Rank,Nation,Skater,Points
0,1,JPN,Yuzuru Hanyu,5265
3,2,JPN,Shoma Uno,5121
6,3,USA,Nathan Chen,4920
9,4,RUS,Mikhail Kolyada,4181
12,5,ESP,Javier Fernandez,4034
15,6,USA,Jason Brown,3787
18,7,ISR,Alexei Bychenko,3601
21,8,CHN,Boyang Jin,3527
24,9,USA,Adam Rippon,3506
27,10,CAN,Patrick Chan,3270
30,11,RUS,Dmitri Aliev,3164
33,12,USA,Max Aaron,3077
36,13,RUS,Alexander Samarin,2893
39,14,LAT,Deniss Vasiļjevs,2865
42,15,JPN,Keiji Tanaka,2739
45,16,UZB,Misha Ge,2727
48,17,RUS,Sergei Voronov,2639
51,18,USA,Vincent Zhou,2627
54,19,BEL,Jorik Hendrickx,2480
57,20,ISR,Daniel Samohin,2387
60,21,RUS,Maxim Kovtun,2363
63,22,RUS,Alexander Petrov,2293
66,23,GEO,Morisi Kvitelashvili,2281
69,24,ITA,Matteo Rizzo,2169
72,25,CAN,Nam Nguyen,2141
75,26,CZE,Michal Brezina,2132
78,27,JPN,Takahito Mura,2115
81,28,RUS,Roman Savosin,2091
84,29,CAN,Kevin Reynolds,2081
87,30,CHN,Han Yan,2064
90,31,KAZ,Denis Ten,2046
93,32,JPN,Kazuki Tomono,2023
96,33,FRA,Chafik Besseghier,1915
99,34,CAN,Keegan Messing,1871
102,35,USA,Grant Hochstein,1868
105,36,SWE,Alexander Majorov,1789
108,37,USA,Alexei Krasnozhon,1771
111,38,UKR,Ivan Pavlov,1638
114,39,FRA,Kevin Aymoz,1628
117,40,AUS,Brendan Kerry,1567
120,41,ITA,Ivan Righini,1487
123,42,USA,Ross Miner,1486
126,43,MAS,Julian Zhi Jie Yee,1394
129,44,GER,Paul Fentz,1348
132,45,UKR,Yaroslav Paniot,1340
135,46,PHI,Michael Christian Martinez,1268
138,47,SUI,Stephane Walker,1262
141,48,USA,Andrew Torgashev,1260
144,49,USA,Tomoki Hiwatashi,1246
147,50,CAN,Liam Firus,1216
150,51,RUS,Alexey Erokhov,1203
153,52,GBR,Graham Newberry,1196
156,53,KOR,Jun Hwan Cha,1137
159,54,CAN,Nicolas Nadeau,1136
162,55,JPN,Mitsuki Sumoto,1116
165,56,USA,Timothy Dolensky,1106
168,57,GEO,Irakli Maysuradze,1101
171,58,CAN,Joseph Phan,1084
174,59,ITA,Maurizio Zandron,1076
177,60,GBR,Phillip Harris,1072
180,61,ITA,Daniel Grassl,1047
183,62,RUS,Makar Ignatov,1041
186,63,CAN,Elladj Balde,992
189,64,USA,Camden Pulkinen,968
192,65,CAN,Roman Sadovsky,962
195,66,FIN,Valtter Virtanen,959
198,67,FRA,Romain Ponsart,950
201,68,CAN,Conrad Orzel,940
204,69,ESP,Javier Raya,932
207,70,JPN,Daisuke Murakami,920
210,71,ARM,Slavik Hayrapetyan,911
213,72,TPE,Chih-I Tsao,875
216,73,NOR,Sondre Oddvoll Bøe,842
219,74,GER,Peter Liebers,829
222,75,RUS,Anton Shulepov,823
225,76,JPN,Koshiro Shimada,809
228,77,CZE,Jiri Belohradsky,807
231,78,RUS,Artur Dmitriev,806
234,79,KOR,Jinseo Kim,787
237,80,AZE,Larry Loupolover,766
240,81,EST,Daniel Albert Naurits,761
243,82,KOR,Sihyeong Lee,756
246,83,SUI,Lukas Britschgi,750
249,84,CZE,Petr Kotlarik,743
252,85,POL,Igor Reznichenko,741
255,86,RUS,Adian Pitkeev,740
258,87,USA,Alexander Johnson,739
261,88,KOR,June Hyoung Lee,734
264,89,RUS,Konstantin Menshov,733
267,90,ITA,Alessandro Fadini,729
270,91,ESP,Felipe Montoya,727
273,92,KAZ,Abzal Rakimgaliev,714
276,93,JPN,Ryuju Hino,713
279,94,ITA,Dario Betti,672
282,95,FRA,Adrien Tesson,631
285,96,SUI,Nicola Todeschini,627
288,97,RUS,Andrei Lazukin,623
291,98,FRA,Luc Economides,618
294,99,RUS,Igor Efimchuk,592
297,100,RUS,Artur Danielian,583
300,101,RUS,Petr Gumennik,577
303,102,TUR,Başar Oktar,555
306,103,JPN,Hiroaki Sato,549
309,104,ISR,Mark Gorodnitsky,540
312,105,JPN,Sota Yamamoto,538
315,106,CHN,He Zhang,531
318,107,RUS,Gordei Gorshkov,521
321,108,ITA,Marco Zandron,504
324,109,FRA,Adam Siao Him Fa,473
327,110,TUR,Burak Demirboga,468
330,111,CRO,Nicholas Vrdoljak,463
333,112,ITA,Adrien Bannister,461
336,112,GER,Franz Streubel,461
339,112,ITA,Alberto Vanz,461
342,115,CZE,Matyas Belohradsky,459
345,116,RUS,Ilia Skirda,450
348,117,USA,Sean Rabbitt,446
351,118,AUS,Mark Webster,428
354,119,POL,Krzysztof Gala,421
357,120,GBR,Harry Mattick,414
360,121,KOR,Geon Hyeong An,413
363,122,USA,Richard Dornbush,408
366,123,JPN,Yuto Kishina,405
369,124,EST,Aleksandr Selevko,404
372,125,GBR,Peter James Hallam,383
375,126,MEX,Donovan Carrillo,381
378,126,JPN,Shu Nakamura,381
381,128,HUN,Alexander Maszljanko,364
384,129,RUS,Artem Lezheev,356
387,130,SUI,Nurullah Sahaka,353
390,131,CHN,Tangxu Li,352
393,132,USA,Jordan Moeller,337
396,133,ARG,Denis Margalik,335
399,134,FIN,Roman Galay,334
402,135,RUS,Vladimir Samoilov,329
405,136,ITA,Mattia Dalla Torre,328
408,136,JPN,Tatsuya Tsuboi,328
411,138,CAN,Bennet Toman,325
414,139,RUS,Egor Murashov,323
417,140,ITA,Jari Kessler,318
420,141,AUS,Andrew Dodds,316
423,142,EST,Samuel Koppel,308
426,143,GER,Thomas Stoll,305
429,144,FIN,Matthias Versluis,302
432,145,RUS,Artem Kovalev,296
435,146,JPN,Sena Miyake,287
438,147,FRA,Maxence Collet,279
441,148,JPN,Daichi Miyata,266
444,149,GBR,Charlie Parry-Evans,257
447,150,USA,Eric Sjoberg,253
450,151,BLR,Pavel Ignatenko,250
453,151,RUS,Konstantin Miliukov,250
456,153,CHN,Yan Hao,240
459,154,SWE,Illya Solomin,232
462,155,NED,Thomas Kennes,225
465,156,RUS,Daniil Bernadiner,219
468,156,RUS,Pavel Vyugov,219
471,158,USA,Kevin Shum,209
474,159,SLO,David Kranjec,206
477,160,HUN,Alexander Borovoj,203
480,160,RUS,Egor Rukhin,203
483,160,FRA,Philip Warren,203
486,163,USA,Oleksiy Melnyk,201
489,164,USA,Tony Lu,197
492,165,GER,Jonathan Hess,194
495,166,MAS,Kai Xiang Chew,191
498,167,CZE,Tomas Kupka,182
501,167,RUS,Murad Kurbanov,182
504,167,JPN,Jun Suzuki,182
507,170,SWE,Gabriel Folkesson,175
510,171,KOR,Se Jong Byun,174
513,172,RUS,Zhan Bush,170
516,173,HKG,Leslie Man Cheuk Ip,166
519,174,TUR,Engin Ali Artan,164
522,174,POL,Lukasz Kedzierski,164
525,174,SVK,Marco Klepoch,164
528,174,FRA,Landry Le May,164
531,174,MON,Davide Lewton Brain,164
534,174,AUT,Luc Maierhofer,164
537,174,SVK,Michael Neuman,164
540,174,HKG,Harrison Jon-Yen Wong,164
543,182,GER,Niko Ulanovsky,152
546,183,BLR,Yakau Zenko,149
549,184,RUS,Evgeni Semenenko,148
552,185,GER,Alexander Bjelde,142
555,185,GER,Martin Rappe,142
558,187,CHN,Yi Wang,134
561,188,CHN,Shuai Fang,133
564,188,PRK,Kum Chol Han,133
567,190,SUI,Vincent Cuerel,127
570,190,FIN,Tomi Pulkkinen,127
573,192,CHN,Yuheng Li,120
576,192,USA,Maxim Naumov,120
579,194,TPE,Meng Ju Lee,115
582,195,CAN,Edrian Paul Celestino,108
585,195,USA,Ryan Dunk,108
588,195,USA,William Hubbart,108
591,195,AUS,James Min,108
594,199,CAN,Christophe Belley-Lemelin,101
597,199,KAZ,Artur Panikhin,101
600,201,ITA,Nik Folini,97
603,201,SWE,Nikolaj Majorov,97
606,201,JPN,Taichiro Yamakuma,97
609,204,ESP,Aleix Gabara,93
612,204,JPN,Hidetsugu Kamata,93
615,206,CHN,Yunda Lu,76
618,206,RUS,Vladislav Tarasenko,76
621,208,KOR,Younghyun Cha,75
624,209,TPE,Micah Tang,74
627,210,USA,Anthony Boucher,68
630,211,HKG,Harry Hau Yin Lee,58
633,212,THA,Micah Kai Lynette,49
636,213,GBR,Josh Brown,34
